product_name,product_reviews,product_price
"Amtec 32 inch  AC/DC 32R1S Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV+ 4 EXTRA FREE GIFTS",(19),"KSh 13,999"
"Vitron 55"" Inch Smart-Android,Bluetooth TV,FRAMELESS,ULTRA HD,4K+GIFTS",(6),"KSh 43,999"
"GLD 43"" INCH-BLUETOOTH /FRAMELESS Full HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE POWER GUARD",(1),"KSh 19,999"
VITRON 24 INCH HTC2446 HD Digital TELEVISION LED TV AC/DC With HDMI Output  and USB VGA AV ports INBUILT DECODER ELECTRONICS WIDE COLOR ENHANCER MULTILANGUAGE SUPPORT,(0),"KSh 8,999"
"Vitron HTC4068S,40"" Inch Bluetooth Enabled Frameless Smart Android TV Inbuilt WIFI Netflix,Youtube Television Inbuilt Decoder Appstore Wide Color Enhancer 14 Months Warranty+7 FREE GIFTS",(59),"KSh 19,999"
"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 8 EXTRA ACCESSORIES",(0),"KSh 14,199"
"GLD 32 Inch,BLUETOOTH-ENABLED,Frameless Smart Android TV（LE3200R1-SATelevision with 12 Months Warranty USB 2-HDMI 3, AV,NETFLIX+FREE BRACKET+TV GUARD +14MONTHS WARRANTY",(0),"KSh 12,799"
AILYONS 32 Inch LST 3208W Smart TV,(0),"KSh 12,900"
"BLUETOOTH-ENABLED  VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE TV AERIAL",(2),"KSh 20,599"
Artel 30AT2801 Smart Bluetooth AC/DC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G+8G with 12 Months Warranty,(9),"KSh 11,999"
