standing_cooker_name,standing_cooker_reviews,standing_cooker_price
"Mika 50cm * 60cm, 3 Gas Jet Burners +1 Electric, Free Standing Cooker with Electric Oven",(0),"KSh 32,995"
CLEARANCE OFFER VON 60×60 Free Standing 3 Gas Burner +1 Electric Cooker Oven,(0),"KSh 36,800"
"Volsmart Full Gas Free Standing Cooker With Oven & nbsp - Gas Oven with Lamp,Auto Ignoition, Oven capacity: 60L, Oven with thermostat, Turnspit(Chicken Rotisserie), Built-in Timer, Temperature Control",(0),"KSh 21,195"
Nunix 3 gas plus 1 electric free Standing cooker with shelves,(0),"KSh 12,000"
Nunix 4 Gas Free Standing Cooker With Shelves,(0),"KSh 8,999"
"Nunix 50 * 55 Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)",(0),"KSh 24,600"
VON 60×60 Free Standing 3 Gas Burner +1 Electric Cooker Oven,(0),"KSh 48,999"
EUROCHEF 50 BY 55 CM 3 GAS +1 HOT PLATE STANDING COOKER WITH ELECTRIC OVEN,(0),"KSh 22,400"
BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN Quality Standing Cooker,(0),"KSh 42,525"
"50*60 Von 3+1 standing cooker affordable‎,‎ quality‎,‎ energy‎-efficient home appliances‎.‎ The brand is well known for their high‎-quality‎,‎",(0),"KSh 37,800"
"Sara tech Standing Cooker 3 Gas, 1 Electric Hotplate, with Electric Oven, Auto-ignition technology",(0),"KSh 26,000"
"CLEARANCE OFFER Mika 58*58, 3 Gas Jet Burners +1 Rapid Plate, Cooker with Electric Oven",(0),"KSh 41,000"
BJS SILVER (INOX) 60x60 3+1 Electric/Gas Cooker - W/ Turbo Fan - Oven 60L Capacity,(0),"KSh 43,200"
